MERCHANT_CITY_NAME,MERCHANT_STATE_XCD,YEAR_RUN,TOT_CNT,MERCHANT_CATEGORY_XCD,TOT_SUM
Columbus Grov,OH,2019,882,5814,9479.21
SAINT JAMES C,FL,2019,904,5814,22286.41
ZOAR,OH,2019,338,5812,10993.57
CANAL POINT,FL,2019,1696,5814,24264.2
Bay Lake,FL,2019,655,5814,7265.5
Cardington,OH,2019,795,5814,10784.57
Minerva,OH,2019,642,5814,8581.14
Montgomery,OH,2019,145,5812,5265.22
WAYNESFIELD,OH,2019,189,5812,4420.08
(561) 289-759,FL,2019,266,5814,4278.94
TILTONSVILLE,OH,2019,56,5812,986.66
440-9980900,OH,2019,562,5814,5356.34
216-8985555,OH,2019,87,5814,1181.51
LOCKHART,FL,2019,72,5814,670.75
CENTERBURG,OH,2019,1128,5812,32788.45
Fairport Harb,OH,2019,145,5814,1863.76
Umatilla,FL,2019,146,5812,4215.43
305-2552860,FL,2019,963,5814,9834.32
Killbuck,OH,2019,32,5814,292.49
9376933008,OH,2019,46,5812,1532.62
(352) 375-722,FL,2019,139,5814,2080.42
OSTRANDER,OH,2019,415,5812,9086.24
REEDSVILLE,OH,2019,36,5812,4666.79
7724049096,FL,2019,94,5812,3181.37
330-3494272,OH,2019,173,5814,2569.86
Trinity,FL,2019,79,5814,1089.24
Hebron,OH,2019,265,5814,3348.8
330-6448443,OH,2019,41,5812,1304.48
LAND OLAKES,FL,2019,20,5814,20.0
AUBURN TWP,OH,2019,68,5812,2491.17
407-8271212,FL,2019,37,5812,1646.29
YULEE,FL,2019,21248,5812,593054.69
St Augustine,FL,2019,28539,5812,988368.84
216-2218480,OH,2019,84,5814,981.42
SANTA ROSA BC,FL,2019,1340,5812,83821.86
Auburndale,FL,2019,1575,5812,30234.94
Auburndale,FL,2019,3885,5814,49265.06
MEXICO BEACH,FL,2019,1001,5812,20222.38
LAUD BY THE S,FL,2019,2358,5812,78578.85
239-5927710,FL,2019,94,5812,11581.19
DEL RAY BEACH,FL,2019,3613,5812,51403.23
MC ARTHUR,OH,2019,1973,5812,67176.53
SWEETWATER,FL,2019,5061,5814,45245.9
Ironton,OH,2019,1671,5814,21394.38
N FORT MYERS,FL,2019,7687,5812,266966.45
Ellenton,FL,2019,3567,5812,80356.79
813-849-9050,FL,2019,206,5814,3673.92
Perrysburg,OH,2019,4106,5814,47382.8
HEATHROW,FL,2019,3696,5812,188590.35
Fremont,OH,2019,1506,5814,19811.89
PEMBROKE PIN,FL,2019,2685,5812,119393.3
N FT. MYERS,FL,2019,773,5812,24831.37
Estero,FL,2019,1788,5812,130076.61
ARCHER,FL,2019,2400,5812,59443.86
Jacksontown,OH,2019,172,5812,4898.07
CAROL CITY,FL,2019,313,5812,9219.0
CLINTON,OH,2019,547,5812,75847.36
SUNNY HILLS,FL,2019,109,5812,2327.67
BONITA BEACH,FL,2019,597,5812,16536.49
MERRITT IS,FL,2019,4191,5812,157884.36
Princeton,FL,2019,39,5812,916.01
South Miami,FL,2019,3165,5812,73247.48
LAND O' LAKES,FL,2019,2694,5814,23561.99
MORRISTOWN,FL,2019,3000,5814,18850.77
(954) 571-951,FL,2019,133,5814,2227.48
Hialeah Garde,FL,2019,2265,5814,24972.5
Indian Harbou,FL,2019,1040,5814,11123.35
GREEN COVE S,FL,2019,133,5812,2317.32
E. LIVERPOOL,OH,2019,1243,5814,14707.64
239-4362222,FL,2019,63,5812,2215.5
FRANKFORT,OH,2019,215,5812,8649.65
LEXINGTON,OH,2019,152,5814,2368.57
561-6237099,FL,2019,13,5812,553.99
NEW WASHINGTO,OH,2019,79,5812,1927.6
APALACHICOL,FL,2019,464,5812,7708.6
734-5583151,OH,2019,213,5814,2901.8
863-2990834,FL,2019,3,5814,164.0
CENTERBURG,OH,2019,212,5814,331.5
614-476-3333,OH,2019,9,5814,134.63
7863461441,FL,2019,329,5812,5621.12
"Pinecrest,",FL,2019,98,5814,2579.0
850-4557364,FL,2019,22,5812,615.64
BOYUTON BEACH,FL,2019,245,5812,6256.67
NEW SMRYNA,FL,2019,23,5814,297.07
BUENA VENTURA,FL,2019,27,5814,177.91
863-6472556,FL,2019,423,5814,6694.74
330-3455777,OH,2019,79,5812,2435.76
miami beach,FL,2019,249,5814,3334.22
ST  AUGUSTINE,FL,2019,396,5814,3316.42
330-7851088,OH,2019,220,5812,5481.04
Bell,FL,2019,67,5814,543.0
Pompano,FL,2019,253,5814,4028.08
Burbank,OH,2019,13,5814,94.1
740-6811877,OH,2019,188,5814,2740.37
513-5287555,OH,2019,78,5814,1004.9
216-6311900,OH,2019,60,5814,615.38
305-4466664,FL,2019,31,5812,960.21
HILLARD,OH,2019,13,5812,522.79
614-8516500,OH,2019,118,5814,1314.79
PORT CHALOTTE,FL,2019,79,5812,7681.6
614-471-3200,OH,2019,8,5814,150.92
614-298-8800,OH,2019,52,5814,686.91
ROGERS,OH,2019,61,5812,956.89
3865233000,FL,2019,11,5812,164.41
7273601811,FL,2019,92,5812,234463.41
LAKE COMO,FL,2019,5,5814,7.5
772-2202599,FL,2019,35,5812,572.5
813-395-5900,FL,2019,42,5814,1183.39
SAINT HENRY,OH,2019,109,5814,1837.99
Jacksonville,OH,2019,184,5812,3815.19
Palm Beach,FL,2019,164,5814,1598.25
813-8678230,FL,2019,14,5814,209.62
MARATHON SHOR,FL,2019,7,5812,22.12
Belle Isle,FL,2019,237,5814,3084.95
MILLERSPORT,OH,2019,37,5814,95.25
Ontario,OH,2019,108,5812,1570.48
TAMUNING,OH,2019,11,5814,333.38
863-5339300,FL,2019,88,5812,1899.68
813-7319458,FL,2019,17,5812,236.84
JEROME,FL,2019,15,5814,459.04
Forest,OH,2019,410,5812,4860.49
KIRTLAND,OH,2019,865,5812,27991.07
HUBER HTS,OH,2019,250,5812,3395.96
ST. PETERSBOU,FL,2019,302,5814,3612.09
FINLAY,OH,2019,80,5814,454.58
Coldwater,OH,2019,484,5812,15242.93
Palm beach Ga,FL,2019,79,5814,1218.02
Cuyahoga Fls,OH,2019,298,5812,10297.56
INDIAN HBR BE,FL,2019,49,5812,5920.42
3054188661,FL,2019,188,5812,5234.64
3056614281,FL,2019,34,5812,884.8
954-5245500,FL,2019,31,5812,1536.34
773-428-2387,FL,2019,55,5814,972.87
SURF SIDE,FL,2019,24,5812,326.06
HUNTINGTON,OH,2019,18,5814,27.0
La Rue,OH,2019,6,5814,44.0
419-3577354,OH,2019,17,5812,560.09
Galion,OH,2019,58,5812,998.58
RIVER RANCH,FL,2019,4,5812,35.07
954-3458833,FL,2019,50,5812,1176.0
VILLAGES,FL,2019,67,5812,1494.82
614-388-9878,FL,2019,6,5812,201.08
352-596-1514,FL,2019,6,5814,66.28
"Jacksonville,",FL,2019,42,5812,2050.27
614-890-3663,OH,2019,14,5812,351.76
4076564143,FL,2019,6,5812,180.71
407-7485167,FL,2019,4,5812,101.91
GILBERT,FL,2019,6,5814,198.27
Satellite Bch,FL,2019,2,5814,28.0
407-9308877,OH,2019,21,5812,837.61
ARGYLE,FL,2019,9,5812,17.67
VANLUE,OH,2019,16,5814,24.0
5024893737,OH,2019,7,5812,839.64
St. Clairsvil,OH,2019,15,5814,383.98
NORTH HAMPTON,OH,2019,18,5812,378.8
HIALEAH GARDN,FL,2019,17,5812,238.66
Felda,FL,2019,15,5814,182.38
BONITA SPRNGS,FL,2019,54,5814,510.99
WINDHAM,OH,2019,22,5814,482.57
954-9412220,FL,2019,10,5812,436.56
305-7453440,FL,2019,1,5812,100.0
330-7140896,OH,2019,34,5814,385.29
3526801603,FL,2019,6,5814,56.61
MCALESTER,OH,2019,18,5812,286.7
CENTER HILL,FL,2019,6,5814,101.0
LANGSVILLE,OH,2019,9,5812,5372.03
4076393048,FL,2019,1,5814,1.0
DEXTER CITY,OH,2019,14,5812,222.2
SAN FRANCISCO,OH,2019,33,5814,309.35
Warsaw,OH,2019,1,5814,30.0
RDG MNR EST,FL,2019,8,5814,100.0
WHITE COTTAGE,OH,2019,16,5812,7757.39
Naranja,FL,2019,34,5814,558.4
7728794083,FL,2019,10,5812,167.42
813-9206681,FL,2019,8,5812,60.76
BANNOCK,OH,2019,8,5812,36.9
BARLOW,OH,2019,10,5812,40.48
Bloomdale,OH,2019,1,5812,0.0
352-3941516,FL,2019,9,5812,254.32
Berlin Center,OH,2019,3,5812,55.0
TERRA CEIA,FL,2019,8,5812,18.48
Shadyside,OH,2019,2,5812,48.13
EDGAR,FL,2019,8,5812,76.36
BAGDAD,FL,2019,9,5812,42.31
NEW MADISON,OH,2019,3,5814,40.9
8133826563,FL,2019,6,5812,2214.0
419-517-0044,OH,2019,2,5814,31.52
954-775-0254,FL,2019,9,5814,97.22
BOYTONBEACH,FL,2019,15,5812,310.31
888-8888888,FL,2019,4,5814,173.29
7723343888,FL,2019,4,5812,115.25
123PATRICK AF,FL,2019,1,5814,6.39
941-9931435,FL,2019,3,5812,109.14
Fort Mccoy,FL,2019,9,5812,214.49
MELROSE,OH,2019,9,5812,158.57
NORTH BLOOMFI,OH,2019,7,5812,22.96
Garrettsville,OH,2019,2,5812,28.25
Grover Hill,OH,2019,4,5814,10.0
FULTONHAM,OH,2019,14,5812,60.93
GEORGETOWN,FL,2019,6,5812,5314.73
JENERA,OH,2019,3,5812,14.11
561-4825000,FL,2019,6,5812,8005.58
3217732353,FL,2019,2,5812,100.77
LEESVILLE,OH,2019,6,5812,6738.76
216-465-3231,OH,2019,4,5814,93.92
9547900011,FL,2019,2,5814,1300.0
8004471010,FL,2019,1,5812,15.43
3052070555,FL,2019,6,5814,85.9
Midland,OH,2019,4,5814,46.0
Custar,OH,2019,2,5812,25.59
614-354-2233,OH,2019,2,5814,23.01
E CLEVELAND,OH,2019,8,5812,84.0
Clayton,OH,2019,3,5812,4.99
Pleasant Hill,OH,2019,1,5812,0.0
Byesville,OH,2019,1,5812,16.42
3526281221,FL,2019,4,5812,235.0
863-6884280,FL,2019,1,5812,30.39
941-383-3633,FL,2019,2,5812,120.0
Lake Clarke S,FL,2019,2,5812,0.0
Dorset,OH,2019,3,5812,38.14
Citra,FL,2019,1,5812,0.0
LOX,FL,2019,1,5812,13.67
4402241812,OH,2019,1,5812,20.0
west milton,OH,2019,1,5814,12.0
Forest,OH,2019,1,5814,7.0
937-252-8811,OH,2019,1,5814,12.49
3052965618,FL,2019,1,5812,1.0
8502670400,FL,2019,7,5814,583.14
4078371725,FL,2019,1,5812,9.0
Jax Beach,FL,2019,1,5812,13.8
Graytown,OH,2019,1,5814,52.0
4194351222,OH,2019,1,5812,17.67
239-2835522,FL,2019,1,5812,100.0
(904) 596-055,FL,2019,1,5814,14.96
Patriot,OH,2019,1,5814,9.0
3218026888,FL,2019,2,5812,43.62
7403639464,OH,2019,2,5812,25.06
Canton,OH,2019,40451,5814,457132.39
WARREN,OH,2019,4024181,5814,10457167.83
LOUISVILLE,OH,2019,53605,5814,577415.59
Fort Walton B,FL,2019,8134,5812,209761.47
POMPANO BEACH,FL,2019,173108,5812,5297164.16
SARASOTA,FL,2019,333946,5814,3815283.94
CANTON,OH,2019,455461,5812,12130293.83
HOLLYWOOD,FL,2019,325384,5814,3057610.66
Lakeland,FL,2019,28889,5814,320206.63
MARATHON,FL,2019,30023,5814,380641.83
WINTER HAVEN,FL,2019,163956,5812,4802217.47
DEERFIELD BEA,FL,2019,104773,5812,2961672.7
PT CHARLOTTE,FL,2019,12839,5814,176771.71
NAPOLEON,OH,2019,61142,5814,668584.3
MAYFIELD VILL,OH,2019,13423,5814,66308.65
KEY WEST,FL,2019,54989,5814,698345.25
BRYAN,OH,2019,95427,5814,1053892.01
FT WALTON BCH,FL,2019,28774,5812,1002703.63
INDEPENDENCE,OH,2019,30339,5812,888912.69
COCOA,FL,2019,42806,5812,1187941.62
SAINT BERNARD,OH,2019,257,5814,1868.08
MACEDONIA,OH,2019,27352,5814,290719.64
WEST UNITY,OH,2019,15778,5814,169469.9
Niles,OH,2019,2920,5812,97920.93
Montpelier,OH,2019,3389,5814,42932.51
Coshocton,OH,2019,5453,5814,59938.99
PONTE VEDRA B,FL,2019,9417,5814,131658.63
DAVENPORT,FL,2019,75404,5812,2120270.61
Lakeland,FL,2019,17020,5812,414320.08
INDIALANTIC,FL,2019,15927,5814,159282.47
BRISTOL,FL,2019,8101,5812,148983.37
PINECREST,FL,2019,11280,5812,375703.84
VAN WERT,OH,2019,31593,5814,316993.48
Monroe,OH,2019,1334,5814,12799.08
HASTINGS,FL,2019,3314,5814,30205.94
Shaker Height,OH,2019,2824,5814,29423.65
2153598627,FL,2019,93,5814,1574.45
PT ORANGE,FL,2019,910,5812,17726.11
MOUNT VERNON,OH,2019,15338,5814,208284.7
Lima,OH,2019,10307,5814,133037.83
Niceville,FL,2019,6743,5812,226186.91
Waterville,OH,2019,779,5814,8639.22
UNIVERSITY HT,OH,2019,6273,5814,46987.73
NEWPORT,OH,2019,3109,5812,40501.27
DEL RAY,FL,2019,1083,5814,17688.9
COOPER CITY,FL,2019,12434,5812,395993.2
JACSONVILLE,FL,2019,177,5812,5783.21
Florida City,FL,2019,2465,5814,31501.0
PRINCETON,FL,2019,2779,5812,92619.8
CANTINA-DOWNT,OH,2019,265,5814,2091.09
CLEVELAND HTS,OH,2019,2129,5812,55500.49
SANIBEL,FL,2019,2311,5814,40881.64
Gulf Breeze,FL,2019,1420,5812,35871.63
Bellaire,OH,2019,2305,5814,24147.42
SAINT JAMES,FL,2019,286,5812,5959.05
POMPANO,FL,2019,1387,5814,17646.0
Key Biscayne,FL,2019,2469,5812,105823.45
Baker,FL,2019,115,5814,1511.85
561-627-4101,FL,2019,145,5814,2575.25
DAYTONA BCH.,FL,2019,1426,5814,20388.84
N FORT MEYERS,FL,2019,68,5812,1305.56
GREENVILLE,FL,2019,7,5812,15.93
Miami Fl,FL,2019,28,5812,185.55
CLERMONT,FL,2019,184139,5814,2289231.18
GALLIPOLIS,OH,2019,86038,5812,2232995.53
ORMOND BCH,FL,2019,16838,5814,111491.51
GREENVILLE,OH,2019,22829,5814,279217.08
LANTANA,FL,2019,28027,5812,1050301.84
COSHOCTON,OH,2019,23580,5812,647803.67
KENTON,OH,2019,26085,5814,300678.88
Punta Gorda,FL,2019,4630,5814,76883.39
DANIA BEACH,FL,2019,29434,5812,898426.54
MACEDONIA,OH,2019,13241,5812,383514.68
BAY HARBOR IS,FL,2019,1217,5812,77551.28
Islamorada,FL,2019,5148,5812,181042.87
Millbury,OH,2019,496,5814,7051.4
KIMBOLTON,OH,2019,678,5812,16597.29
BLOUNSTOWN,FL,2019,814,5812,20771.31
Ottawa,OH,2019,4840,5814,60211.67
Freeport,FL,2019,243,5812,5629.82
Juno Beach,FL,2019,455,5814,3924.91
GIBSONBURG,OH,2019,969,5812,27281.37
WILOUGHBY HLS,OH,2019,4043,5814,34358.72
Weston,FL,2019,4592,5812,148268.62
N.PALM BEACH,FL,2019,5656,5814,50378.31
TYNDALL A F B,FL,2019,718,5814,4993.82
WASHINGTN TWP,OH,2019,1649,5812,48264.5
Delta,OH,2019,128,5812,3528.15
Millfield,OH,2019,682,5812,8068.22
Jackson,OH,2019,3151,5814,35980.1
Louisville,OH,2019,3980,5814,56188.11
Salem,OH,2019,818,5814,10047.06
VERNON,FL,2019,522,5814,11883.21
Hilliard,FL,2019,261,5812,6172.5
PT ORANGE,FL,2019,143,5814,2953.61
Winter Spring,FL,2019,2127,5812,45332.52
PEEBLES,OH,2019,4525,5814,43808.04
LORIDA,FL,2019,10,5812,68.83
DADE CITYB,FL,2019,650,5812,24047.34
E PALESTINE,OH,2019,1492,5814,13924.25
ANDERSON TOWN,OH,2019,1226,5812,40076.52
Pepper Pike,OH,2019,397,5814,4425.22
De Funiak Spr,FL,2019,935,5814,11040.69
MASARYKTOWN,FL,2019,1338,5812,38954.76
Waldo,FL,2019,1188,5814,15672.04
NORTH FT. MYE,FL,2019,1478,5814,17517.11
MORRISTON,FL,2019,2039,5812,73491.35
402-850-5555,FL,2019,97,5814,1763.98
CHICAGO,FL,2019,941,5812,41700.79
850-6838055,FL,2019,605,5814,7218.61
Sharonville,OH,2019,685,5814,7917.35
740-773-6080,OH,2019,20,5814,536.96
Madison,OH,2019,419,5814,5040.89
INDIAN SHORES,FL,2019,322,5814,6407.08
Mc Arthur,OH,2019,367,5814,4581.54
MINGO JCT,OH,2019,293,5812,7270.92
Mount Gilead,OH,2019,1134,5814,15631.72
Wooster,OH,2019,597,5812,14492.64
PENINSULA,OH,2019,120,5814,1477.11
COLUMBIA,OH,2019,298,5812,7953.6
STRYKER,OH,2019,244,5812,4962.83
BELLEAIR BLF,FL,2019,101,5814,2036.87
850-2480364,FL,2019,198,5814,2826.15
Jeffersonvill,OH,2019,595,5814,6732.96
DeBary,FL,2019,202,5814,2257.36
Lauderhill FL,FL,2019,705,5812,10445.67
330-8237884,OH,2019,172,5814,2376.45
614-2722724,OH,2019,91,5814,3018.07
DEFUNIAK SP,FL,2019,20,5812,261.54
CLAIR MEL,FL,2019,85,5814,1116.0
ST GEORGE ISL,FL,2019,61,5814,416.52
937-2354444,OH,2019,74,5812,3910.11
904-400-7171,FL,2019,166,5814,3418.53
HOOVEN,OH,2019,55,5812,1606.64
WESTFIELD CEN,OH,2019,119,5812,1707.78
5137292268,OH,2019,40,5812,982.63
MOUNT PLYMOUT,FL,2019,69,5814,1745.43
2396936688,FL,2019,32,5812,1039.85
REDINGTON S,FL,2019,102,5812,4543.14
EAST LIVERP,OH,2019,77,5812,1488.92
Silver Spring,FL,2019,75,5812,1757.88
Port St. John,FL,2019,63,5814,765.13
3058674055,FL,2019,11,5812,233.66
Reddick,FL,2019,33,5814,402.53
9374024323,OH,2019,19,5812,391.04
CUYAHOGHA FAL,OH,2019,682,5812,31694.8
937-3329400,OH,2019,99,5814,1379.42
Orange,FL,2019,2211,5814,40436.79
OBETZ,OH,2019,236,5812,4933.55
Poland,OH,2019,1537,5814,18627.35
ORWELL,OH,2019,1083,5812,26957.44
POMPANOBEACH,FL,2019,664,5812,20896.67
MELBOURNE BCH,FL,2019,555,5814,12600.47
LIBERTY TWP,OH,2019,2589,5812,62368.14
TORONTO,OH,2019,2786,5814,35645.08
Harrison,OH,2019,333,5814,5195.62
BISCAYNE PARK,FL,2019,718,5814,6185.24
850-7806766,FL,2019,113,5814,1938.87
Hobe Sound,FL,2019,3126,5812,112866.35
NEW HAMPSHIRE,OH,2019,240,5812,2842.53
WILLOWICK,OH,2019,5953,5812,158416.04
W. Linebaugh,FL,2019,716,5812,16587.67
954-4355003,FL,2019,703,5814,6761.44
Fort Denaud,FL,2019,592,5812,11101.52
Tippecanoe,OH,2019,552,5812,13010.96
Edgerton,OH,2019,1802,5814,20609.31
Bokeelia,FL,2019,656,5814,9743.63
Wapakoneta,OH,2019,1250,5814,15726.0
DAMASCUS,OH,2019,174,5812,4539.36
Mechanicsburg,OH,2019,43,5812,1186.68
SEAMAN,OH,2019,1027,5812,19380.7
Cantonment,FL,2019,889,5814,11751.94
MOOREHAVEN,FL,2019,140,5812,2940.41
Newcomerstown,OH,2019,338,5814,4184.53
Grafton,OH,2019,247,5812,4920.85
614-2380777,OH,2019,108,5814,2618.96
8136044327,FL,2019,39,5814,267.96
801-2920463,OH,2019,87,5814,1149.84
Celebration,FL,2019,112,5814,1398.77
North Canoton,OH,2019,362,5812,7768.0
Hubbard,OH,2019,373,5814,4573.77
216-2499000,OH,2019,41,5814,520.45
13577 US 19 N,FL,2019,406,5812,12202.4
ZEPHRHILLS,FL,2019,228,5812,4804.09
Walhonding,OH,2019,163,5812,5244.8
Holiday,FL,2019,41,5812,950.32
407-4252555,FL,2019,29,5812,305.24
CITRUS SPGS,FL,2019,51,5814,554.17
765-6402976,OH,2019,218,5814,2987.31
UNION,OH,2019,140,5812,4555.53
WINTERPARK,FL,2019,89,5814,1192.52
THURSTON,OH,2019,216,5812,16110.19
MOUNT PERRY,OH,2019,8,5812,35.36
920-969-9400,OH,2019,4,5812,84.89
Rittman,OH,2019,36,5812,1510.5
Kendall,FL,2019,57,5814,593.38
954-977-4466,FL,2019,7,5814,152.26
sanford,FL,2019,34,5814,784.75
MARTINSBURG,OH,2019,87,5814,1014.9
Ave Maria,FL,2019,24,5812,477.3
5134554900,OH,2019,46,5812,44979.29
MT HOPE,OH,2019,59,5812,2030.85
850-7656625,FL,2019,106,5812,1743.77
513-9311100,OH,2019,42,5814,456.93
pompano beach,FL,2019,40,5814,769.56
850-6403730,FL,2019,25,5814,860.32
9549802289,FL,2019,9,5812,360.0
9047218188,FL,2019,16,5812,572.18
Mingo Junctio,OH,2019,1,5814,5.5
Weston,FL,2019,4253,5814,47766.66
LAJAS,OH,2019,49,5812,892.27
LYNCHBURG,OH,2019,590,5812,10597.68
BERLIN HEIGHT,OH,2019,6,5812,20.64
239-2740449,FL,2019,48,5812,789.9
WINESBURG,OH,2019,41,5812,551.72
Kissimee,FL,2019,97,5812,2490.05
513-351-9555,OH,2019,9,5814,98.88
WEST FARMINGT,OH,2019,9,5812,50.71
2153985750,OH,2019,2,5814,546.88
N GEORGETOWN,OH,2019,31,5812,866.4
BRIDGEPORT,FL,2019,47,5812,1180.76
9544142605,FL,2019,12,5812,475.35
PORT ST. JOE,FL,2019,5,5814,71.89
407-4837770,FL,2019,60,5812,698.96
954-935-9464,FL,2019,13,5814,274.33
330-6993232,OH,2019,17,5812,1145.03
727-320-0536,FL,2019,7,5812,560.0
